Skenario,RMSE,MAE,MAPE (%),R2,Kategori,Eksperimen
80-10-10,147.1,107.07,1.4,0.8654,Sangat Akurat,"Percobaan 1 (1-Layer, Win 30)"
70-15-15,132.41,94.66,1.27,0.9609,Sangat Akurat,"Percobaan 1 (1-Layer, Win 30)"
60-20-20,123.26,88.27,1.23,0.9719,Sangat Akurat,"Percobaan 1 (1-Layer, Win 30)"
80-10-10,158.00019953403614,117.78523569258431,1.5365647246075491,0.8324711921440171,Sangat Akurat,"Percobaan 2 (2-Layer, Win 10)"
70-15-15,139.9896238223586,100.30233173470222,1.364378680305262,0.9609442999315962,Sangat Akurat,"Percobaan 2 (2-Layer, Win 10)"
60-20-20,121.5797071805534,86.12445841709307,1.1986523489168897,0.9725161779479687,Sangat Akurat,"Percobaan 2 (2-Layer, Win 10)"
